"track","artist","album"
"merry-go-round","domenique dumont","people on sunday"
"アセテート - instrumental","フレネシ","キュプラ"
"aconteceu","charlie rouse","bossa nova bacchanal (original remastered)"
"freeway","dweeb","untitled v"
"for her","wüsh","for her"
"wednesday morning 5/3/2017","charlie toø human","morning joints, vol. 1"
"syrup","dweeb","untitled vi"
"souvenir d'italie","lelio luttazzi","le mie preferite"
"horario","jaeden camstra","kids' menu"
"'72 audi coupe, pt. 1","dweeb","'72 audi coupe"
"fanfare for naran ratan","naran ratan","trees etc."
"meringue doll","ichiko aoba","meringue doll"
"kokoro no sekai - remastered","ichiko aoba","kamisori otome (remastered)"
"du wirst unbesiegbar sein (dragonball z)","anime allstars","anime hits"
"girl","no buses","boring thing"
"i don't want no champagne","chimmi","dance with me"
"アオミ","gesu no kiwami otome","好きなら問わない"
"カンナ","indigo la end","カンナ"
"this is all i have for you - 2018 remaster","makoto matsushita","first light (2018 remaster)"
"elephant","bôa","twilight"
"a lot's gonna change","weyes blood","titanic rising"
"say yes - remastered 2017","elliott smith","either/or (expanded edition)"
"rainy season","2 mello","superliminal: the lo-fi mix"
"no more what ifs","lyn","persona 5 royal: original soundtrack"
"the crunching rhythm of chiba ""rakkasei""","hiromitsu maeba","devil may cry 5 original soundtrack"
"yagami tantei jimusho","hyd lunch","judge eyes & lost judgment original sound track"
"memories of summer","アトラスサウンドチーム","persona5 original soundtrack"
"who was i?","garoad","va-11 hall-a (original soundtrack: second round)"
"ginza","laid back devil","shin megami tensei online live 2021 : reason of music"
"封印","アトラスサウンドチーム","ペルソナ3フェス オリジナル・サウンドトラック"
"my homie","アトラスサウンドチーム","persona5 original soundtrack"
"period - ”p4d”ver.","アトラスサウンドチーム","ペルソナ4 ダンシング・オールナイト オリジナル・サウンドトラック (advanced cd付 collector's edition)"
"a sky full of stars","アトラスサウンドチーム","ペルソナ4 ザ・ゴールデン オリジナル・サウンドトラック"
"tokyo daylight","lyn","persona5 original soundtrack"
"p3 fes","川村ゆみ","ペルソナ3フェス オリジナル・サウンドトラック"
"layer cake","アトラスサウンドチーム","persona5 original soundtrack"
"mistic","アトラスサウンドチーム","ペルソナ3 オリジナル・サウンドトラック"
"when mother was there","アトラスサウンドチーム","persona5 original soundtrack"
"記憶","アトラスサウンドチーム","ペルソナ4 ザ・ゴールデン オリジナル・サウンドトラック"
"confession / secret","アトラスサウンドチーム","persona5 original soundtrack"
"学園の記憶","アトラスサウンドチーム","ペルソナ3 オリジナル・サウンドトラック"
"step","アトラスサウンドチーム","ペルソナ4 ダンシング・オールナイト オリジナル・サウンドトラック (advanced cd付 collector's edition)"
"sunset bridge","アトラスサウンドチーム","persona5 original soundtrack"
"break it down","アトラスサウンドチーム","persona5 original soundtrack"
"warm feeling","アトラスサウンドチーム","persona 3 portable: original soundtrack"
"joy","アトラスサウンドチーム","ペルソナ3 オリジナル・サウンドトラック"
"smile","アトラスサウンドチーム","ペルソナ4 オリジナル・サウンドトラック"
"butterfly kiss","アトラスサウンドチーム","persona5 original soundtrack"
"living with determination","アトラスサウンドチーム","ペルソナ3 オリジナル・サウンドトラック"
"our beginning","アトラスサウンドチーム","persona5 original soundtrack"
"舞耶・テーマ","アトラスサウンドチーム","ペルソナ3フェス オリジナル・サウンドトラック"
"like a dream come true","アトラスサウンドチーム","ペルソナ4 オリジナル・サウンドトラック"
"when the moon's reaching out stars","川村ゆみ","ペルソナ3 オリジナル・サウンドトラック"
"wake up, get up, get out there - instrumental version","アトラスサウンドチーム","persona5 original soundtrack"
"changing seasons","アトラスサウンドチーム","ペルソナ3 オリジナル・サウンドトラック"
"夢想曲","アトラスサウンドチーム","ペルソナ4 オリジナル・サウンドトラック"
"shadow world","平田志穂子","ペルソナ4 ザ・ゴールデン オリジナル・サウンドトラック"
"beneath the mask -rain-","lyn","persona5 original soundtrack"
"life will change - instrumental version","アトラスサウンドチーム","persona5 original soundtrack"
"blind alley","アトラスサウンドチーム","ペルソナ3フェス オリジナル・サウンドトラック"
"burn my dread","川村ゆみ","ペルソナ3 オリジナル・サウンドトラック"
"blues in velvet room","アトラスサウンドチーム","ペルソナ3 オリジナル・サウンドトラック"
"wiping all out【p3p】","藤田真由美","ペルソナ3&ペルソナ4 ヴォーカルサウンドセレクション"
"snowflakes - powder snow mix","平田志穂子","ペルソナ4 ザ・ゴールデン オリジナル・サウンドトラック"
"your affection","平田志穂子","ネバー・モア-『ペルソナ4』輪廻転生-"
"last surprise","lyn","persona5 original soundtrack"
"heartful cry","アトラスサウンドチーム","ペルソナ3フェス オリジナル・サウンドトラック"
"heaven","平田志穂子","ペルソナ4 オリジナル・サウンドトラック"
"heartbeat, heartbreak - ”never more”p4d-edit ver.","平田志穂子","ペルソナ4 ダンシング・オールナイト オリジナル・サウンドトラック (advanced cd付 collector's edition)"
"loungin'","guru","jazzmatazz volume 1"
"lauf durch die zeit (detektiv conan)","anime allstars","anime hits 2"
"グライド","lily chou-chou","呼吸"
"glide - cover","mitski","glide (cover)"
"when we were young","adele","25"
"opp stoppa (feat. 21 savage)","ybn nahmir","visionland"
"montfermeil","lomepal","amina"
"location","playboi carti","playboi carti"
"yusuf","lomepal","amina"
"don't leave me this way","tomppabeats","harbor"
"for you.","luv.ly","jazz crusaders beattape"
"i don't want to play around","ace spectrum","inner spectrum"
"he needs me","punch-drunk love","punch-drunk love (music from the motion picture soundtrack)"
"黒い涙","anna tsuchiya inspi' nana(black stones)","anna tsuchiya inspi' nana(black stones)"
"the coffin was so light i thought it might float away","eiafuawn","birds in the ground"
"most ordinary existence","언니네 이발관","most ordinary existence"
"lonely in gorgeous","tommy february6","lonely in gorgeous"
"carpop","daydream twins","daydream twins"
"par 5","kitty craft","beats and breaks from the flower patch"
"レイテンシーガール","フレネシ","ゲンダイ"
"wii snorkeling","gabriel gundacker","unofficial wii sports soundtrack"
"the olive man","memo boy","songs & demos 2015-2017"
"glass jaw","chokecherry","glass jaw"
"honey","chihiro","カードキャプターさくら　ソングコレクション 1999.4～2001.2"
"blue light","mazzy star","so tonight that i might see"
"setting sun","you'll never get to heaven","wave your moonlight hat for the snowfall train"
"karen 3","småland","ljudspårsmusik vol. 1"
"anchin kfu ayinkash","hailu mergia","wede harer guzo"
"he needs me","shelley duvall","popeye (music from the motion picture / the deluxe edition)"
"your face","wisp","your face"
"theme from the amazing digital circus","gooseworx","theme from the amazing digital circus"
"暗愚","indigo la end","哀愁演劇"
"瞳のアドリブ","indigo la end","哀愁演劇"
"愉楽","indigo la end","哀愁演劇"
"芝居","indigo la end","哀愁演劇"
"忘れっぽいんだ","indigo la end","哀愁演劇"
"harukamirai","kankaku piero","iroirotoiro"
"chuchu lovely munimuni muramura prinprin boron nururu rerorero","maximum the hormone","bu-ikikaesu"
"i'm not the only one","sam smith","in the lonely hour"
"i don't like my mind","mitski","the land is inhospitable and so are we"
"mit aller kraft (truth) (detektiv conan)","anime allstars","anime hits 2"
"空想メソロギヰ","yousei teikoku","pax vesania"
"frieda (with the naturally curly hair)","vince guaraldi trio","a boy named charlie brown"
"christmas time is here","vince guaraldi trio","charlie brown holiday hits"
"christmas is coming","vince guaraldi trio","a charlie brown christmas [2012 remastered & expanded edition]"
"snoopy and the leaf / frieda (with the naturally curly hair)","vince guaraldi","it's the great pumpkin, charlie brown"
"khali","ebi","48 golden hits of ebi"
"black hole","boygenius","the rest"
"break my stride","matthew wilder","i don't speak the language"
"attention mesdames et messieurs","michel fugain","fais comme l'oiseau"
"masked marvel","george winston","peanuts portraits"
"the charlie brown suite: rain, rain go away","vince guaraldi","the charlie brown suite and other favorites"
"the charlie brown suite: peppermint patty","vince guaraldi","the charlie brown suite and other favorites"
"the charlie brown suite: happiness is","vince guaraldi","the charlie brown suite and other favorites"
"the charlie brown suite: intro with linus and lucy","vince guaraldi","the charlie brown suite and other favorites"
"the charlie brown theme","vince guaraldi","the charlie brown suite and other favorites"
"what child is this","vince guaraldi trio","a charlie brown christmas [2012 remastered & expanded edition]"
"linus and lucy","vince guaraldi trio","a charlie brown christmas [2012 remastered & expanded edition]"
"skating","vince guaraldi trio","a charlie brown christmas [2012 remastered & expanded edition]"
"fur elise","vince guaraldi trio","a charlie brown christmas [2012 remastered & expanded edition]"
"the christmas song","vince guaraldi trio","a charlie brown christmas [2012 remastered & expanded edition]"
"charlie brown theme","vince guaraldi trio","charlie brown holiday hits"
"surfin' snoopy","vince guaraldi trio","charlie brown holiday hits"
"joe cool","vince guaraldi trio","charlie brown holiday hits"
"my little drum","vince guaraldi trio","a charlie brown christmas [2012 remastered & expanded edition]"
"hark, the herald angels sing","vince guaraldi trio","a charlie brown christmas [2012 remastered & expanded edition]"
"baseball theme - alternate take","vince guaraldi trio","a boy named charlie brown"
"fly me to the moon","vince guaraldi trio","a boy named charlie brown"
"baseball theme","vince guaraldi trio","a boy named charlie brown"
"blue charlie brown","vince guaraldi trio","a boy named charlie brown"
"schroeder","vince guaraldi trio","a boy named charlie brown"
"happiness is","vince guaraldi trio","a boy named charlie brown"
"pebble beach","vince guaraldi trio","a boy named charlie brown"
"oh, good grief","vince guaraldi trio","a boy named charlie brown"
"great pumpkin waltz","vince guaraldi trio","charlie brown holiday hits"
"charlie's blues","vince guaraldi trio","charlie brown holiday hits"
"you're in love, charlie brown","vince guaraldi","oh good grief"
"rain, rain go away","vince guaraldi","oh good grief"
"red barron","vince guaraldi","oh good grief"
"watching old vhs tapes while i wait for you","e66s","watching old vhs tapes while i wait for you"
"popstar love","in love with a ghost","gay story"
"13 drift..","nohidea","departures"
"dozing.","just big hills","stay with me"
"chirp","hazy year","no txpxs allowed"
"romantico - remastered","800 cherries","romantico (2022 remaster)"
"in luv.","luv.ly","in luv."
"nvm.","halberd","b4u."
"erika, seq. 4","roberto pregadio","erika (original motion picture soundtrack)"
"balmy","90sflav","collection"
"for her","caleb belkin","discography"
"snooze button","burbank","bedroom"
"hisaishi","a l e x","growing up, vol. 1"
"cherry blossom","mt. fujitive","sanctuary"
"game over","blvk","beat batch #2"
"summer lovers","neeks","with u"
"depiction","wenzel","depiction"
"food court","potsu","just friends"
"shinjuku","just big hills","shinjuku"
"natural flavor","too ugly","natural flavor"
"blue sands","elysian spring","glass flowers"
"cold brew","pastels","mindfunk"
"i hear a rhapsody","bill evans","undercurrent"
"huit octobre 1971","cortex","troupeau bleu"
"卯月の朧唄","ichiko aoba","qp"
"le bracelet","alain goraguer","la planète sauvage (original motion picture soundtrack)"
"the apartment","duncan lamont","kpm 1000 series: friends and lovers"
"no one has lips like yours","burbank","beside"
"polka dots and moonbeams","wes montgomery","incredible jazz guitar"
"me and u in a winter day","cat paw","me and u in a winter day"
"sabbat, pt. 1","cortex","troupeau bleu"
"early morning, late night","jishle","surroundings"
"summer's day.","luv.ly","singles"
"seaside cafe","cat naps","seaside cafe"
"me n you .","rejucted","us vs the wrld"
"in solitude i sometimes find solace.","barnes blvd.","last summer"
"rainy day :/","halberd","rainy day :/"
"at times.","luv.ly","jazz crusaders beattape"
"withu","blvk","beat batch #3"
"mary et jeff","cortex","troupeau bleu"
"moon","mt. fujitive","beat batch 2016"
"michelle","yusef lateef","suite 16"
"under the trees","blvk","beat batch #3"
"tired","chief.","coffee"
"intro screen","masked man","enter the game"
"okinawa bbq","mommy","lovely currents"
"efficace swing","cortex","cortex, vol. 2"
"ashley dawn","burbank","bedroom"
"driveby","potsu","ivy league"
"chihiro's interlude","honshu lo fi","[life]"
"it's a great big world","biosphere","summer festival"
"seeing your name makes me happy","burbank","bedroom"
"making her smile","equity slate","apart"
"will be fine - instrumental","nawhij","ordinary vibes"
"waking up in the park","j'san","waking up in the park"
"breakfast","potsu","breakfast"
"balcony view","leavv","essence"
"your side - instrumental","nawhij","ordinary vibes"
"in my head","lofty","hideaway"
"swell","potsu","just friends"
"cat's meow","potsu","sidewalk safari"
"happy thoughts","mt. fujitive","beat batch 2016"
"aereo","vincent delerm","la vie très privée de monsieur sim (bande originale du film)"
"respirando","cat paw","a cup of lofi #2"
"taurus","aimless","for you"
"something easy","in love with a ghost","gay story"
"palmera","mt. fujitive","sanctuary"
"sleepless nights",".anxious.","3am ep"
"gogo","potsu","just friends"
"in the way","sugi.wa","in the way"
"manmade waterfalls","blvk","beat batch #3"
"lemonade","burbank","bedroom"
"maybe tomorrow","grant green","visions"
"heatwave","potsu","just friends"
"chilling in a quiet park outside the city","cat paw","chilling in a quiet park outside the city"
"ripples","blvk","beat batch #3"
"remnants of summer","jishle","surroundings"
"i need a cup of coffee and some bread to wake up","in love with a ghost","discography 2015-2016"
"it's raining","masked man","it's raining"
"overtime","blvk","beat batch #3"
"solitude","huey daze","sonnet"
"soul mates","jazzinuf","soul mates"
"japanese garden","cat paw","inner peace"
"sharing an umbrella","hentaidesu","futari"
"you're the nico to my velvet underground","mt. marcy","nietzsche"
"tale","tomppabeats","arcade"
"wii","jaeden camstra","kids' menu"
"mistress arrives","michel colombier","colossus: the forbin project (original motion picture soundtrack)"
"plus de larmes - maquette mai 2018","lomepal","amina"
"epilogue","jóhann jóhannsson","the theory of everything (original motion picture soundtrack)"
"blue stone of atlas - piano solo version","hikaru shirosu","blue stone of atlas (piano solo version)"
"lovers' oath","yu-peng chen","genshin impact - the shimmering voyage (original game soundtrack)"
"誘惑","物語シリーズ","nisemonogatari gekihanongakushu (original soundtrack)"
"reefers","bsd.u","late night bumps, vol. 1"
"・・・・for piano","hikaru shirosu","・・・・for piano"
"winding river","yu-peng chen","genshin impact - jade moon upon a sea of clouds (original game soundtrack)"
"pure sky","yu-peng chen","genshin impact - the wind and the star traveler (original game soundtrack)"
"antar (after n. rimsky-korsakov): no. 7. ravel: allegretto","maurice ravel","ravel: orchestral works, vol. 5"
"oliver","aimless","beats from 2017"
"how it feels to love you","aimless","beats from 2017"
"tender strength","yu-peng chen","genshin impact - city of winds and idylls (original game soundtrack)"
"hail to the king","avenged sevenfold","hail to the king"
"unfold","melody's echo chamber","unfold"
"le temple volant","crumb","le temple volant"
"until i know","panchiko","failed at math(s)"
"ebony eye","yves tumor","praise a lord who chews but which does not consume; (or simply, hot between worlds)"
"purified by the fire","yves tumor","praise a lord who chews but which does not consume; (or simply, hot between worlds)"
"fear evil like fire","yves tumor","praise a lord who chews but which does not consume; (or simply, hot between worlds)"
"echolalia","yves tumor","praise a lord who chews but which does not consume; (or simply, hot between worlds)"
"in spite of war","yves tumor","praise a lord who chews but which does not consume; (or simply, hot between worlds)"
"operator","yves tumor","praise a lord who chews but which does not consume; (or simply, hot between worlds)"
"heaven surrounds us like a hood","yves tumor","praise a lord who chews but which does not consume; (or simply, hot between worlds)"
"interlude","yves tumor","praise a lord who chews but which does not consume; (or simply, hot between worlds)"
"meteora blues","yves tumor","praise a lord who chews but which does not consume; (or simply, hot between worlds)"
"righteous minds","joey bada$$","1999"
"ignite","eir aoi","d'azur"
"bat country","avenged sevenfold","city of evil"
"dawn in the adan","ichiko aoba","windswept adan"
"おめでとうの唄","ichiko aoba","マホロボシヤ"
"テリフリアメ","ichiko aoba","qp"
"moon ride","lamp","dusk to dawn"
"a winter's day","lamp","dusk to dawn"
"bedroom afternoon","lamp","dusk to dawn"
"summer triangle","lamp","dusk to dawn"
"autumn letter","lamp","dusk to dawn"
"weekend","lamp","dusk to dawn"
"her watch","lamp","dusk to dawn"
"late night train","lamp","dusk to dawn"
"august calendar","lamp","dusk to dawn"
"around the corner","lamp","dusk to dawn"
"misty town","lamp","dusk to dawn"
"cold way home","lamp","dusk to dawn"
"as time goes by","lamp","dusk to dawn"
"the last dance","lamp","dusk to dawn"
"hunting for your dream","galneryus","angel of salvation"
"i really want to stay at your house","rosa walton","cyberpunk 2077: radio, vol. 2 (original soundtrack)"
"dreams tonite","alvvays","antisocialites"
"dance the night","dua lipa","barbie the album"
"honesty","billy joel","52nd street"
"super trouper","abba","super trouper"
"〒160-0014 tokyo '82","猫 シ corp.","lofi"
"my heart flutters when i see you","biosphere","summer festival"
"feblu","flughand","expedition, vol. 7 (moonloops)"
"i miss you","ichika nito","i miss you"
"lost in translation /1","infinite bisous","w/ love"
"quit asking me for sandwiches","hazy year","no txpxs allowed"
"break up in a text","bladen","break up in a text"
"do you dream of me too?","rook1e","do you dream of me too?"
"it's not you it's me","bøjet","sleepwalk"
"opus","black country, new road","for the first time"
"the place where he inserted the blade","black country, new road","ants from up there"
"the wrong trousers - live at bush hall","black country, new road","live at bush hall"
"track x","black country, new road","for the first time"
"crazy rainbow (第284-325話 op)","super dj yuuki","熱烈！アニソン魂 the best カバー楽曲集 tvアニメシリーズ「one piece」vol.1"
"turbines/pigs - live at bush hall","black country, new road","live at bush hall"
"haldern","black country, new road","ants from up there"
"laughing song - live at bush hall","black country, new road","live at bush hall"
"i won’t always love you - live at bush hall","black country, new road","live at bush hall"
"intro","black country, new road","ants from up there"
"cheri cheri lady","modern talking","let's talk about love"
"silent jealousy - remaster","x japan","jealousy"
"青のすみか","tatsuya kitani","青のすみか"
"paradisus-paradoxum","myth & roid","eye's"
"cyan hardcore","machine girl","reporpoised phantasies"
"athoth a go!! go!!","machine girl","…because i’m young arrogant and hate everything you stand for"
"ghost","machine girl","wlfgrl"
"bloody sneakers (violet's theme)","machine girl","neon white soundtrack part 2 ""the burn that cures"""
"instrumental","black country, new road","for the first time"
"up song - live at bush hall","black country, new road","live at bush hall"
"an old smile","macabre plaza","an old smile"
"something about you","eyedress","mulholland drive"
"bruh","jump man 93","bruh"
"lost","ichika nito","until the end"
"free the frail","jpegmafia","all my heroes are cornballs"
"still beating","mac demarco","this old dog"
"pg baby","redveil","learn 2 swim"
"some","steve lacy","some"
"love u","westside gunn","hitler wears hermes 7"
"quite buttery","count bass d","dwight spitz"
"og!","jpegmafia","lp!"
"one more love song","mac demarco","this old dog"
"fruits of the spirit","jay electronica","a written testimony"
"last donut of the night","j dilla","donuts"
"piggypink","hotel ugly","piggypink"
"1985","freddie gibbs","alfredo"
"smile #2","slauson malone 1","a quiet farwell, 2016–2018 (crater speak)"
"bistro","madvillain","madvillainy"
"don't cry","j dilla","donuts"
"ryd","steve lacy","steve lacy's demo"
"fastlane","king geedorah","take me to your leader"
"for the first time","mac demarco","this old dog"
"iii. urn","childish gambino","because the internet"
"slicedat_","knxwledge","meek, vol. 3"
"time: the donut of the heart","j dilla","donuts"
"whoopy","westside gunn","hitler wears hermes 7"
"perfect hair","dangerdoom","the mouse & the mask"
"welcome to the show","j dilla","donuts"
"easter sunday","zelooperz","dyn-o-mite"
"no blood no sweat","mach-hommy","pray for haiti"
"intro: babs","benny the butcher","tana talk 3"
"carruth","boldy james","the price of tea in china"
"u-love","j dilla","donuts"
"ocean prime (feat. boldy james)","the alchemist","yacht rock 2"
"kometostai.aintreallynootherwaytoputitro","knxwledge","hud dreems"
"blockchain","mach-hommy","pray for haiti"
"routine","medhane","routine"
"great adventures","boldy james","super tecmo bo"
"clouded","brent faiyaz","fuck the world"
"coco mango (flofilz remix)","mf doom","coco mango (flofilz remix)"
"love, of money","mavi","let the sun talk"
"dreamy","elijah lee","dreamy"
"beachside","e66s","e66s classics"
"spring lovers","minuano","spring lovers"
"theme from failure, pt. 1","the guest","slow dance '18"
"portrait of tracy","jaco pastorius","jaco pastorius"
"adventures in space","luiz bonfá","introspection"
"a world at peace","ibrahim","a world at peace"
"night on earth","jerkcurb","air con eden"
"by the successors","datfootdive","slice of life_"
"away","ichika nito","away"
"sleep next to me","a l e x","growing up, vol. 1"
"confused porn","infinite bisous","w/ love"
"will you stay here with me","tomppabeats","harbor"
"baby boo","paulie leparik","neon daydream"
"weaving a story","datfootdive","do you love me?"
"on top","the girl next door","on top"
"flirting in space","brad stank","eternal slowdown"
"divine","blvk","divine"
"window","ichika nito","window"
"dust collector","yg hypnos","analog noise"
"brake","infinite bisous","w/ love"
"bossa uh","potsu","ivy league"
"o.t.d.","brad stank","daddy blue / o.t.d."
"i believed she felt the same","datfootdive","i need you"
"flowers","the deli","vibes 3"
"again","wun two","penthouse"
"no one would miss me","a l e x","growing up, vol. 1"
"game over!","harris cole","game over!"
"love is destructive","datfootdive","do you love me?"
"what love is, i think","rook1e","dreams for two"
"with you in my arms","nogfgoodnight","四月の思い出"
"sex for breakfast ii","lo'fi boy","sex for breakfast ii"
"panacea.","misc.inc","panacea."
"wait","steaminwaffles","sunday evening"
"isla bella","kendall miles","isla bella"
"morning colors","rook1e","morning colors"
"full moon","猫 シ corp.","lofi"
"fall apart","potsu","fall apart"
"i sipped a bit of summer","biosphere","summer festival"
"if only","rook1e","dreams for two"
"my new love","elijah who","gentle boy"
"rain","moow","i can't tell you how much it hurts"
"daffodil dreams","lofi.samurai","growth"
"it never entered my mind","datfootdive","stay healthy, drink water, i love you."
"summer's day interlude","rook1e","dreams for two"
"sidewalk safari","potsu","sidewalk safari"
"waffle break","mt. fujitive","winter weibs"
"train ride home","lofi.samurai","oldies"
"bad mood","moow","i can't tell you how much it hurts"
"四月","nogfgoodnight","四月の思い出"
"let's be lazy together","biosphere","summer festival"
"memories","sugi.wa","chillhop essentials fall 2017"
"lullabies","mt. fujitive","honshu island"
"sly cooper","aimless","beats from 2017"
"serenade in the summer sun","biosphere","summer festival"
"revell","smoke trees","ko-op 1"
"take care of yourself","datfootdive","do you love me?"
"grace","kasper lindmark","while you were away"
"morning fog","biosphere","summer festival"
"already dead","lofi.samurai","oldies"
"memories of her, last winter","rook1e","portrait in love"
"soon","kasper lindmark","while you were away"
"one more final i need you","datfootdive","do you love me?"
"take me there","potsu","just friends"
"emotional crank","tomppabeats","harbor"
"summer's day","jinsang","summer's day"
"stay","datfootdive","mother"
"illusory sense","ichika nito","she waits patiently"
"have you heard","potsu","ivy league"
"5:32pm","the deli","vibes 2"
"i'm not ready to say goodbye to autumn","ichika nito","i'm not ready to say goodbye to autumn"
"delicious!","kokonoku","kokopuffs taster pack"
"wake up","moow","i can't tell you how much it hurts"
"call me","90sflav","collection"
"awakening","ichika nito","awakening"
"i'm so alone","datfootdive","coldblood"
"coffee on the beach.","halberd","coffee on the beach."
"affection","jinsang","life"
"feeling","ichika nito","until the end"
"a world that's ending","datfootdive","do you love me?"
"i fell in love with you one night in september","rook1e","dreams for two"
"lovesick","strafend","lovesick"
"i was feeling down, i found a nice witch and we're friends","in love with a ghost","healing"
"nice boys","temporex","care"
"why am i","datfootdive","no memory"
"isolation","ichika nito","journey"
"we've never met but can we have a cup of coffee or something","in love with a ghost","let's go"
"just friends","potsu","just friends"
"her","eery","her"
"then i can go home...","datfootdive","i need you"
"the burn marks on my epiano wont go away","a l e x","growing up, vol. 1"
"ethereal feel","ichika nito","n i t o"
"the not real lake","loving","loving"
"reminisce.","jinsang","solitude."
"error","plastic girl in closet","eye cue rew see"
"daydream","luna li","jams 2"
"夢の島","satoa","スリーショット"
"nostalgia","chill aqua","nostalgia"
"20190724","mac demarco","one wayne g"
"without you","strawberry guy","without you"
"mirror","luna li","jams ep"
"small town pigeon","macabre plaza","an old smile"
"dawn","lamp","dusk to dawn"
"night drizzle","lamp","dusk to dawn"
"alone in my room","lamp","dusk to dawn"
"amidst the morning fog","lamp","dusk to dawn"
"old notebook","lamp","dusk to dawn"
"afterthought","fugazi","instrument soundtrack"
"are you tired of playing the social game?","the red pill","are you tired of playing the social game?"
"the ghost has no home","cocteau twins","the moon and the melodies"
"il vento d'oro","yugo kanno","jojo's bizarre adventure -golden wind o.s.t vol.1 overture"
"暁","lyu:lyu","君と僕と世界の心的ジスキネジア"
"lvs","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"pst","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"yamafuro","masakatsu takagi","kagayaki"
"shisso(tv size)","last alliance","ouran high school host club soundtrack & character songs latter part"
"prima bossa nova","anthony mawer","bruton vaults: kitsch lush strings"
"retire (final)","alvedon","hurry up mixtape"
"i'll haunt you","tennis","swimmer"
"mall cassette","joe wong","the midnight gospel (music from the netflix original series)"
"a voz do violão","god3ps","a voz do violão"
"pure imagination (jersey surf)","oliver crosby","pure imagination (jersey surf)"
"might start singing","sheldon charlot","might start singing"
"jyoti","r mccarthy","dick arkive: issue 2"
"a dream is a wish your heart makes","juliana chahayed","a dream is a wish your heart makes"
"ebb tide","ben flocks","mask of the muse"
"california and me","laufey","bewitched"
"braincells","tomcbumpz","comfortable silence"
"when tomorrow comes","cindy","angel touch"
"dorothy - remastered","manfred minnich","vintage pearls: retro things with strings"
"ファンタジア","yuma abe","ファンタジア"
"tae","阿保剛","takeshi abo kid collection~my merry may"
"you","vietra","strawberries"
"autumn leaves","aetoul","autumn leaves"
"想いきり","indigo la end","crying end roll"
"イマジネーション","spyair","best of the best"
"flyers","bradio","power of life"
"unravel","tk from ling tosite sigure","fantastic magic"
"days","no vacation","days"
"sulky baby","yeule","sulky baby"
"once twice melody","beach house","once twice melody"
"these chains","mid-air thief","crumbling"
"wish","sign crushes motorist","i'll be okay"
"trio's","fugazi","instrument soundtrack"
"goodbye my love","fox academy","elsie"
"tv","alex g","race"
"two slow dancers","mitski","be the cowboy"
"taking what's not yours","tv girl","who really cares"
"pantyhose","tv girl","french exit"
"d>e>a>t>h>m>e>t>a>l","panchiko","d>e>a>t>h>m>e>t>a>l"
"a quick one before the eternal worm devours appalachia","lizard in the spring","a quick one before the eternal worm devours appalachia"
"cop shoot cop...","spiritualized","ladies and gentlemen we are floating in space"
"no god only religion","spiritualized","ladies and gentlemen we are floating in space"
"the individual","spiritualized","ladies and gentlemen we are floating in space"
"electricity","spiritualized","ladies and gentlemen we are floating in space"
"ladies and gentlemen we are floating in space","spiritualized","ladies and gentlemen we are floating in space"
"mamma mia","abba","abba"
"サマースクール","seapool","スイート q ラブ"
"toukou","seapool","スイート q ラブ"
"come together","spiritualized","ladies and gentlemen we are floating in space"
"goodbye evergreen","sufjan stevens","javelin"
"스케치북 sketchbook","parannoul","after the magic"
"parade","parannoul","after the magic"
"우리는 밤이 되면 빛난다 we shine at night","parannoul","after the magic"
"도착 arrival","parannoul","after the magic"
"불면증 insomnia","parannoul","after the magic"
"so you are tired","sufjan stevens","javelin"
"my red little fox","sufjan stevens","javelin"
"genuflecting ghost","sufjan stevens","javelin"
"everything that rises","sufjan stevens","javelin"
"will anybody ever love me?","sufjan stevens","javelin"
"a running start","sufjan stevens","javelin"
"you won't know where you stand","philip brooks","on my own"
"it's not just me, it's everybody","weyes blood","and in the darkness, hearts aglow"
"the frost","mitski","the land is inhospitable and so are we"
"grapefruit - demo","the prodigal daughter","grapefruit (demo)"
"half return","adrianne lenker","songs"
"star kisses","my little town","star kisses"
"jonathan","adrianne lenker","a-sides"
"annie's shoes","babehoven","nastavi, calliope"
"pitseleh","elliott smith","xo"
"wild time","weyes blood","titanic rising"
"nylon one","ayden trammell","without you"
"said goodbye to rock n roll","toro y moi","sandhills"
"place to be","nick drake","pink moon"
"time will wait for no one","local natives","time will wait for no one"
"angeles","elliott smith","either/or"
"morning bird","chase mcbride","every road i take"
"abigail","frankie cosmos","inner world peace"
"devil's pool","beach house","become"
"shit dream","jade ava","26 hours"
"between the bars","elliott smith","either/or"
"absentee","cass mccombs","tip of the sphere"
"there's a world","sufjan stevens","javelin"
"shit talk","sufjan stevens","javelin"
"javelin (to have and to hold)","sufjan stevens","javelin"
"how soon is now? - 2011 remaster","the smiths","hatful of hollow"
"white dwarf butterfly","jefre cantu-ledesma","love is a stream"
"bavarian fruit bread","hope sandoval & the warm inventions","bavarian fruit bread"
"happy days are here again - silver album version","starflyer 59","starflyer 59"
"avenue of trees","john foxx","translucence + drift music"
"watching him fade away","mac demarco","this old dog"
"cover me (slowly)","deerhunter","microcastle"
"haunt me (x 3)","teen suicide","dc snuff film / waste yrself"
"los estrellas - remastered","deux filles","double happiness (remastered)"
"bird","blue smiley","return"
